,Unnamed: 0,Description,Category,Predictions,Verify
0,1294,re secured area tower approved thank officer november secured area tower hello please secured area tower date kindly please approve thank regards officer,User Maintenance,User Maintenance,TRUE
1,670,re please tickets assign tickets please trees were killed large number electrons were terribly inconvenienced wrote dear please advise these tickets supposed logged tickets looking forward hearing thanks kind regards analyst ext hub wednesday december pm please tickets assign hi please tickets assign two tickets each each different serial number please tickets these subjects each tickets created total secure wipe verify functionality unit sale install latest apple prepare purchase apple reg cd apple cd apple cd apple cd apple cd apple cd apple cd apple cd apple cd apple apple apple apple apple apple apple apple apple apple apple apple apple apple apple apple apple apple apple apple apple please let questions senior engineer upcoming days off february phone number please consider environment print,Database,Application,FALSE
2,1933,door open floor tower dear could you please fix door floor tower because close properly we consider could lead please open ticket for thank you senior engineer managed,Security,Network,FALSE
3,1203,re card va se,User Maintenance,User Maintenance,TRUE
4,65,old hi please old breakdown thank officer,Application,Application,TRUE
5,2916,sent tuesday october re notification upgrade tried install twice but failed can you advise head sales sent october notification upgrade hello everyone please be advised we have enabled update for version version your assets highly critical you perform upgrade during following two weeks based your availability order avoid virus attacks have latest virus database available order update please follow below steps more detailed guide can be found here open software center by searching for software center search menu check best endpoint agent click install selected wait for installation when status becomes installed reboot your computer hidden icons you can open newly installed endpoint tools note during update process you lose for approximately minutes should you have any questions or encounter any difficulties upgrading your please hesitate contact thank you kind regards ext hub,Database,Database,TRUE
6,2718,sent friday november tv stand wheel hello please log ticket for tv stand one wheel lose balance if another one breaks or if someone pushes by mistake thank you manager,Database,Database,TRUE
7,1943,corrective actions november hi could you please raise incidents for each assign ticket appropriate perform necessary corrective actions with regards encryption please log ticket thanks coordinator,Security,Database,FALSE
8,129,correction dear colleagues please help by correcting task number holiday thank best id image,Application,Application,TRUE
9,2498,sent wednesday february connection problems fusion integration application server cannot connect with address error message caused by unknown error native method please verify application engineer en,Network,Network,TRUE
10,175,delete item folder site hi please delete overview location libraries shared resources templates ebb reason seems rights delete file which did expect thanks head,Application,Application,TRUE
11,1305,card hello finds well colleagues found card returned appears old visitor card more please available future assignations maybe please card possession thanks lovely,User Maintenance,User Maintenance,TRUE
12,1664,thursday march pm re friday saturday march hello please assign queue thank engineer ext friday saturday march importance high hi guys please add these employees period friday saturday march purpose taking starts friday afternoon ends saturday afternoon possibly overnight stay coordinator thank director,User Maintenance,User Maintenance,TRUE
13,1363,re leave hi please find attached completed form dear highlight please leave mailbox activated she continue monitoring thank friday re leave dear apologies seems attached wrong document please find attached needs return thank lead thursday leave hi leave starts please help completion attached form thank lead,User Maintenance,Application,FALSE
14,398,add users nexus hello kind add user nexus prod please assign thank kind regards analyst,Application,Application,TRUE
