Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-March-2020,1270.00,1270.00,1135.00,1167.70,1180.805229145084110305,101355,6998,119680514.00,36754,36.26,135.00,-102.30
26-March-2020,1233.85,1320.60,1130.00,1216.00,1228.441838738282239675,126304,11376,155157118.00,38317,30.34,190.60,-17.85
25-March-2020,1199.00,1221.80,1070.75,1179.00,1139.188745008934283382,90662,7400,103281130.00,29993,33.08,151.05,-20.00
24-March-2020,1200.00,1249.10,1124.65,1154.65,1181.036409812274706240,85444,6774,100912475.00,30995,36.28,124.45,-45.35
23-March-2020,1335.00,1499.00,1148.00,1157.90,1205.586607059700102449,53685,3425,64721917.00,18399,34.27,351.00,-177.10
20-March-2020,1178.60,1399.90,1160.90,1363.95,1280.275651671381208747,164385,9946,210458113.00,62796,38.20,239.00,185.35
19-March-2020,1250.00,1250.00,1065.25,1178.60,1147.049120216096132485,158448,8962,181747639.00,68828,43.44,184.75,-71.40
18-March-2020,1450.00,1450.00,1236.10,1283.60,1300.053536904581944322,125689,6870,163402429.00,29203,23.23,213.90,-166.40
17-March-2020,1465.00,1517.50,1415.40,1427.80,1462.389510972351475488,66622,4101,97427314.00,15045,22.58,102.10,-37.20
16-March-2020,1489.00,1540.85,1361.90,1473.10,1478.502909888851786480,83852,4316,123975426.00,20938,24.97,178.95,-15.90
13-March-2020,1420.00,1558.35,1369.15,1513.15,1497.887901782960083904,81045,5983,121396325.00,21108,26.04,189.20,93.15
12-March-2020,1621.00,1621.00,1480.00,1508.35,1523.562676720075400565,61538,6249,93757000.00,22364,36.34,141.00,-112.65
11-March-2020,1638.00,1641.70,1612.45,1627.35,1629.717411446083671869,14031,1627,22866565.00,4046,28.84,29.25,-10.65
9-March-2020,1674.80,1674.80,1607.80,1640.45,1641.324449793672627235,11632,1016,19091886.00,3528,30.33,67.00,-34.35
6-March-2020,1711.00,1711.00,1673.75,1688.35,1691.050793218492544427,14687,1505,24836463.00,5320,36.22,37.25,-22.65
5-March-2020,1761.45,1775.70,1718.90,1728.80,1742.778665522136749314,30289,2948,52787023.00,9927,32.77,56.80,-32.65
4-March-2020,1731.25,1771.85,1712.25,1754.05,1745.668905734013809666,53296,2860,93037170.00,5905,11.08,59.60,22.80
3-March-2020,1743.60,1752.05,1695.10,1723.95,1720.895430203498750446,28010,2338,48202281.00,6285,22.44,56.95,-19.65
2-March-2020,1735.80,1774.65,1711.90,1727.65,1732.908247368969469625,191940,7907,332614409.00,151342,78.85,62.75,-8.15
